,index,pl_name,hostname,sy_snum,sy_pnum,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim
3534,24147,Kepler-659 b,Kepler-659,1,1,0.7,0.09,-0.05,0.0,0.75,0.07,-0.08,0.0
3535,24157,Kepler-66 b,Kepler-66,1,1,0.93,0.14,-0.06,0.0,0.97,0.06,-0.08,0.0
3536,24168,Kepler-660 b,Kepler-660,1,1,0.69,0.02,-0.02,0.0,0.7,0.02,-0.02,0.0
3537,24177,Kepler-661 b,Kepler-661,1,1,0.68,,,0.0,0.69,,,0.0
3538,24187,Kepler-662 b,Kepler-662,1,1,0.53,0.03,-0.04,0.0,0.54,0.03,-0.02,0.0
3539,24197,Kepler-663 b,Kepler-663,1,1,0.82,0.06,-0.04,0.0,0.86,0.04,-0.04,0.0
3540,24207,Kepler-664 b,Kepler-664,1,1,0.94,,,0.0,0.99,,,0.0
3541,24217,Kepler-665 b,Kepler-665,1,1,0.74,,,0.0,0.77,,,0.0
3542,24227,Kepler-666 b,Kepler-666,1,1,1.05,0.25,-0.12,0.0,1.03,0.09,-0.08,0.0
3543,24237,Kepler-667 b,Kepler-667,1,1,2.17,0.22,-0.2,0.0,,,,
3544,24247,Kepler-668 b,Kepler-668,1,1,0.82,0.06,-0.05,0.0,0.87,0.04,-0.05,0.0
3545,24257,Kepler-669 b,Kepler-669,1,1,1.1,0.36,-0.13,0.0,1.16,0.16,-0.16,0.0
3546,24267,Kepler-67 b,Kepler-67,1,1,0.78,0.03,-0.03,0.0,0.86,0.03,-0.03,0.0
3547,24278,Kepler-670 b,Kepler-670,1,1,1.01,,,0.0,0.94,,,0.0
3548,24288,Kepler-671 b,Kepler-671,1,1,0.83,0.34,-0.07,0.0,0.91,0.1,-0.09,0.0
3549,24298,Kepler-672 b,Kepler-672,1,1,0.9,0.41,-0.41,0.0,1.0,0.09,-0.09,0.0
3550,24308,Kepler-673 b,Kepler-673,1,1,0.8,0.06,-0.06,0.0,,,,
3551,24318,Kepler-674 b,Kepler-674,1,1,0.66,0.03,-0.03,0.0,,,,
3552,24328,Kepler-675 b,Kepler-675,1,1,0.67,0.32,-0.32,0.0,0.76,0.05,-0.05,0.0
3553,24338,Kepler-676 b,Kepler-676,1,1,0.49,0.02,-0.03,0.0,0.51,0.02,-0.03,0.0
3554,24348,Kepler-677 b,Kepler-677,1,1,0.99,0.36,-0.13,0.0,0.93,0.13,-0.1,0.0
3555,24358,Kepler-678 b,Kepler-678,1,1,0.87,0.28,-0.06,0.0,0.99,0.05,-0.1,0.0
3556,24367,Kepler-679 b,Kepler-679,1,1,0.75,0.27,-0.05,0.0,0.81,0.1,-0.08,0.0
3557,24377,Kepler-68 b,Kepler-68,2,3,1.24,0.02,-0.02,0.0,1.08,0.05,-0.05,0.0
3558,24392,Kepler-68 c,Kepler-68,2,3,1.24,0.02,-0.02,0.0,1.08,0.05,-0.05,0.0
3559,24406,Kepler-68 d,Kepler-68,2,3,1.24,0.02,-0.02,0.0,1.08,0.05,-0.05,0.0
3560,24409,Kepler-680 b,Kepler-680,1,1,0.92,0.34,-0.08,0.0,1.01,0.11,-0.12,0.0
3561,24418,Kepler-681 b,Kepler-681,1,1,0.81,,,0.0,0.81,,,0.0
3562,24428,Kepler-682 b,Kepler-682,1,1,1.94,,,0.0,0.95,,,0.0
3563,24438,Kepler-683 b,Kepler-683,1,1,1.06,0.15,-0.14,0.0,0.92,0.07,-0.04,0.0
3564,24447,Kepler-684 b,Kepler-684,1,1,0.86,0.25,-0.25,0.0,0.97,0.05,-0.05,0.0
3565,24457,Kepler-685 b,Kepler-685,1,1,1.06,0.42,-0.14,0.0,1.01,0.16,-0.1,0.0
3566,24467,Kepler-686 b,Kepler-686,1,1,0.89,0.37,-0.09,0.0,0.9,0.12,-0.09,0.0
3567,24477,Kepler-687 b,Kepler-687,1,1,0.76,,,0.0,0.77,,,0.0
3568,24487,Kepler-688 b,Kepler-688,1,1,0.77,0.16,-0.07,0.0,0.87,0.08,-0.1,0.0
3569,24497,Kepler-689 b,Kepler-689,1,1,0.75,0.17,-0.06,0.0,0.81,0.1,-0.09,0.0
3570,24507,Kepler-69 b,Kepler-69,1,2,0.95,0.1,-0.07,0.0,0.94,0.05,-0.05,0.0
3571,24519,Kepler-69 c,Kepler-69,1,2,1.25,,,0.0,1.03,,,0.0
3572,24531,Kepler-690 b,Kepler-690,1,1,1.14,0.12,-0.11,0.0,,,,
3573,24541,Kepler-691 b,Kepler-691,1,1,0.52,0.06,-0.06,0.0,0.54,0.07,-0.07,0.0
3574,24551,Kepler-692 b,Kepler-692,1,1,0.86,0.1,-0.06,0.0,0.9,0.05,-0.05,0.0
3575,24561,Kepler-693 b,Kepler-693,2,1,0.88,,,0.0,0.78,,,0.0
3576,24570,Kepler-694 b,Kepler-694,1,1,0.95,0.14,-0.07,0.0,0.97,0.05,-0.06,0.0
3577,24580,Kepler-695 b,Kepler-695,1,1,0.79,0.07,-0.09,0.0,0.75,0.1,-0.06,0.0
3578,24589,Kepler-696 b,Kepler-696,1,1,1.21,,,0.0,1.02,,,0.0
3579,24599,Kepler-697 b,Kepler-697,1,1,0.85,0.29,-0.06,0.0,0.95,0.07,-0.1,0.0
3580,24609,Kepler-698 b,Kepler-698,1,1,1.68,,,0.0,0.98,,,0.0
3581,24619,Kepler-699 b,Kepler-699,1,1,0.78,0.08,-0.07,0.0,0.81,0.06,-0.07,0.0
3582,24629,Kepler-7 b,Kepler-7,1,1,1.96,0.07,-0.07,0.0,1.32,0.09,-0.09,0.0
3583,24645,Kepler-700 b,Kepler-700,1,1,0.76,0.34,-0.06,0.0,0.78,0.11,-0.06,0.0
3584,24655,Kepler-701 b,Kepler-701,1,1,0.92,0.34,-0.09,0.0,0.89,0.1,-0.07,0.0
3585,24665,Kepler-702 b,Kepler-702,1,1,0.79,0.29,-0.07,0.0,0.82,0.11,-0.08,0.0
3586,24675,Kepler-703 b,Kepler-703,1,1,1.06,,,0.0,1.05,,,0.0
3587,24685,Kepler-704 b,Kepler-704,1,1,0.95,0.26,-0.09,0.0,0.97,0.1,-0.11,0.0
3588,24694,Kepler-705 b,Kepler-705,1,1,0.55,0.02,-0.02,0.0,0.55,0.02,-0.02,0.0
3589,24705,Kepler-706 b,Kepler-706,1,1,0.75,0.29,-0.06,0.0,0.79,0.12,-0.07,0.0
3590,24715,Kepler-707 b,Kepler-707,1,1,0.81,0.07,-0.03,0.0,0.91,0.03,-0.07,0.0
3591,24724,Kepler-708 b,Kepler-708,1,1,1.09,,,0.0,1.0,,,0.0
3592,24734,Kepler-709 b,Kepler-709,1,1,0.73,,,0.0,0.86,,,0.0
3593,24744,Kepler-710 b,Kepler-710,1,1,0.76,0.28,-0.05,0.0,0.81,0.1,-0.07,0.0
3594,24754,Kepler-711 b,Kepler-711,1,1,0.78,,,0.0,0.8,,,0.0
3595,24764,Kepler-712 b,Kepler-712,1,2,0.72,0.18,-0.06,0.0,0.77,0.12,-0.07,0.0
