,pl_name,sy_snum,sy_pnum,st_mass
433,HD 103720 b,1,1,0.79
434,HD 103774 b,2,1,1.33
435,HD 103949 b,1,1,0.77
436,HD 104067 b,1,1,0.82
437,HD 10442 b,1,1,1.56
438,HD 104985 b,1,1,2.3
439,HD 106252 b,1,1,1.01
440,HD 106270 b,1,1,1.32
441,HD 106315 b,1,2,1.12
442,HD 106315 c,1,2,
443,HD 10647 b,1,1,1.11
444,HD 106515 A b,2,1,0.89
445,HD 106906 b,1,1,1.32
446,HD 10697 b,1,1,1.16
447,HD 107148 b,2,2,1.12
448,HD 107148 c,2,2,1.11
449,HD 108147 b,1,1,1.22
450,HD 108236 b,1,5,0.97
451,HD 108236 c,1,5,0.87
452,HD 108236 d,1,5,0.97
453,HD 108236 e,1,5,
454,HD 108236 f,1,5,0.87
455,HD 108341 b,2,1,0.84
456,HD 108863 b,1,1,1.85
457,HD 108874 b,1,2,0.99
458,HD 108874 c,1,2,0.99
459,HD 109246 b,1,1,1.01
460,HD 109271 b,1,2,1.05
461,HD 109271 c,1,2,1.05
462,HD 109286 b,1,1,0.98
463,HD 109749 b,2,1,1.23
464,HD 110014 b,1,1,2.17
465,HD 110082 b,2,1,1.21
466,HD 110113 b,1,2,1.0
467,HD 110113 c,1,2,1.0
468,HD 111232 b,1,1,0.78
469,HD 111591 b,1,1,1.94
470,HD 111998 b,1,1,1.18
471,HD 112640 b,1,1,1.8
472,HD 113337 b,1,1,1.4
473,HD 113538 b,1,2,0.58
474,HD 113538 c,1,2,0.58
475,HD 113996 b,2,1,1.49
476,HD 114386 b,1,1,0.6
477,HD 114613 b,1,1,1.27
478,HD 114729 b,2,1,0.96
479,HD 114762 b,2,1,0.83
480,HD 114783 b,1,2,0.85
481,HD 114783 c,1,2,0.85
482,HD 11506 b,1,2,1.24
483,HD 11506 c,1,2,1.12
484,HD 115954 b,1,1,1.18
485,HD 116029 b,2,2,1.58
486,HD 116029 c,2,2,1.33
487,HD 117207 b,1,1,1.04
488,HD 11755 b,1,1,0.72
489,HD 117618 b,1,1,1.17
490,HD 118203 b,1,1,1.84
491,HD 11964 b,2,2,1.15
492,HD 11964 c,2,2,1.15
493,HD 11977 b,1,1,1.8
494,HD 120084 b,1,1,2.39
495,HD 121504 b,1,1,1.18
496,HD 124330 b,1,1,1.15
497,HD 12484 b,1,1,1.01
498,HD 125390 b,1,1,1.36
499,HD 125595 b,1,1,0.29
500,HD 125612 b,2,3,1.11
501,HD 125612 c,2,3,1.11
502,HD 125612 d,2,3,1.11
503,HD 12648 b,1,1,1.2
504,HD 126525 b,1,1,0.9
505,HD 12661 b,1,2,1.0
506,HD 12661 c,1,2,1.08
507,HD 126614 b,3,1,1.26
508,HD 128311 b,1,2,0.84
509,HD 128311 c,1,2,0.84
510,HD 128356 b,1,1,0.65
511,HD 129445 b,1,1,0.99
512,HD 130322 b,1,1,0.84
513,HD 131496 b,1,1,1.62
514,HD 131664 b,1,1,1.1
515,HD 13167 b,1,1,1.35
516,HD 13189 b,1,1,
517,HD 132406 b,1,1,1.03
518,HD 132563 b,3,1,1.23
519,HD 133131 A b,2,3,0.95
520,HD 133131 A c,2,3,0.95
521,HD 133131 B b,2,3,0.93
522,HD 134060 b,1,2,1.09
523,HD 134060 c,1,2,1.09
524,HD 134987 b,1,2,1.1
525,HD 134987 c,1,2,1.1
526,HD 136352 b,1,3,0.81
527,HD 136352 c,1,3,0.91
528,HD 136352 d,1,3,0.87
529,HD 136418 b,1,1,1.33
530,HD 136925 b,1,1,0.88
531,HD 137388 b,1,1,0.86
532,HD 13808 b,1,2,0.77
533,HD 13808 c,1,2,0.77
534,HD 13908 b,1,2,1.29
535,HD 13908 c,1,2,1.29
536,HD 13931 b,1,1,1.02
537,HD 139357 b,1,1,1.35
538,HD 1397 b,1,1,1.26
539,HD 14067 b,1,1,2.4
540,HD 141004 b,1,1,1.05
541,HD 141399 b,1,4,1.07
542,HD 141399 c,1,4,1.14
543,HD 141399 d,1,4,1.14
544,HD 141399 e,1,4,1.14
545,HD 141937 b,1,1,1.1
546,HD 142 b,2,2,1.15
547,HD 142 c,2,2,1.23
548,HD 142022 A b,2,1,0.9
549,HD 142245 b,3,1,3.5
