1594_01.tab     3 00:15:00 0.007 HD186427      14.2       2.03 4.5
159_01.tab      2 00:08:00 0.007 HD28099       13.5       3.02 4.5
15_00.tab      15 00:08:52 0.007 N/A      -999999.9 -999999.9  4.5
1600_00.tab     4 00:40:00 0.007 N/A      -999999.9 -999999.9  4.5
1601_00.tab     4 01:00:00 0.007 HD186427      16.5       2.28 4.5
1603_01.tab     2 00:15:00 0.007 HD28099       14.5       2.60 4.5
1604_01.tab     2 00:20:00 0.007 HD186427      14.7       2.74 4.5
160_01.tab      3 00:09:00 0.007 HD28099       13.6       2.55 4.5
1613_01.tab     2 00:30:00 0.007 HD28099       16.6       2.55 4.5
1618_01.tab     3 00:45:00 0.007 HD186427      15.4       2.82 4.5
161_01.tab      3 00:04:30 0.007 HD28099       12.9       2.60 4.5
1629_01.tab     3 00:45:00 0.007 HD186427      14.7       1.90 4.5
162_01.tab      2 00:30:00 0.007 HD186427      13.7       2.48 4.5
1634_01.tab     2 00:30:00 0.007 HD186427      16.0       2.29 4.5
1635_01.tab     2 00:20:00 0.007 HD186427      14.8       2.69 4.5
1638_01.tab     3 00:45:00 0.007 HD28099       15.6       2.61 4.5
163_01.tab      3 00:22:30 0.007 HD186427      12.9       2.35 4.5
1640_01.tab     2 00:20:00 0.007 HD28099       16.3       2.44 4.5
1642_01.tab     2 00:20:00 0.007 HD101177      14.8       2.71 4.5
164_01.tab      2 00:20:00 0.007 HD28099       14.2       2.87 4.5
1653_00.tab     8 01:36:40 0.007 N/A      -999999.9 -999999.9  4.5
1655_01.tab     2 00:30:00 0.007 HD186427      16.1       3.42 4.5
1659_01.tab     3 00:10:00 0.007 HD186427      12.2       2.15 4.5
165_01.tab      3 00:22:30 0.007 HD186427      13.2       3.26 4.5
1660_01.tab     2 00:15:00 0.007 HD28099       14.7       1.77 4.5
1662_01.tab     2 00:30:00 0.007 HD101177      16.3       2.96 4.5
1664_01.tab     2 00:20:00 0.007 HD28099       14.7       1.81 4.5
1667_01.tab     2 00:30:00 0.007 HD101177      15.3       2.24 4.5
166_01.tab      2 00:10:00 0.007 HD28099       13.9       2.77 4.5
