,planet_name,starname,number_stars,number_planets,spectral_type,star_temp,star_radius,star_mass,right_ascencion,declination,distance,alpha,delta,X,Y,Z
393,GJ 1061 b,GJ 1061,1,3,M5.5 V,2953.0,0.16,0.12,54.0032486,-44.5143104,3.67278,0.9425344948430182,-0.7769212807347541,1.5392711839455477,2.1188776584872655,-2.574939731146807
396,GJ 1132 b,GJ 1132,1,2,M4.5 V,3270.0,0.21,0.18,153.7090696,-47.1549358,12.613,2.6827293546971234,-0.8230088882765463,-7.68982777707051,3.799035136619295,-9.247791616906538
401,GJ 1148 b,GJ 1148,1,2,,3357.57,0.37,0.37,175.4326081,42.7515862,11.0143,3.0618766267058737,0.746155939640171,-8.062157354754289,0.6440479627743818,7.47673896152778
406,GJ 1151 b,GJ 1151,1,1,M4.5,,,,177.7304866,48.3732334,8.03625,3.1019821723416623,0.8442721926656911,-5.334096560353228,0.2113967031327183,6.006999199370055
407,GJ 1214 b,GJ 1214,1,1,,3074.0,0.21,0.18,258.8313991,4.9606795,14.6427,4.5174601218384876,0.08658019041118606,-2.825619489719324,-14.311579742052583,1.266184455831145
422,GJ 1252 b,GJ 1252,1,1,,3325.0,0.38,,306.9286462,-56.4622865,20.373,5.356915444878783,-0.9854528026293453,6.762704711521616,-8.997704300926745,-16.981350691209688
424,GJ 1265 b,GJ 1265,1,1,M4.5 V,3236.0,0.19,0.18,333.4324675,-17.6870623,10.2525,5.819494390923985,-0.3086974721403611,8.736455264259707,-4.368700582238903,-3.1148933991927077
425,GJ 143 b,GJ 143,1,2,,4628.53,0.71,,51.7501882,-63.500166,16.32,0.9032111726167177,-1.1082869722629576,4.508165156772941,5.718618874750984,-14.605349878883429
428,GJ 15 A b,GJ 15 A,2,2,M1,3607.0,0.38,0.38,4.6126677,44.0247296,3.56228,0.08050623866539405,0.7683764838202062,2.5531253598854895,0.20598773160508035,2.475673393147363
432,GJ 160.2 b,GJ 160.2,1,1,M0 V,4347.0,,0.69,61.6454173,-20.8564724,25.8557,1.075915500650873,-0.3640141137313238,11.474948542518424,21.262741246372094,-9.205357848904148
433,GJ 163 b,GJ 163,1,3,,,,,62.3228353,-53.3711768,15.1285,1.087738675163148,-0.9315027608240112,4.192523865669934,7.9933201008694414,-12.140885043967124
436,GJ 179 b,GJ 179,1,1,,3411.78,0.38,0.39,73.0245495,6.4752347,12.356,1.274518823560579,0.11301416535438727,3.5844683803676545,11.742259943173302,1.3934324013357082
438,GJ 180 b,GJ 180,1,3,,,,0.43,73.460097,-17.776194,11.9407,1.282120561484409,-0.31025311377326087,3.237018938132047,10.900110741226598,-3.6454918341934337
442,GJ 2056 b,GJ 2056,1,1,,,,0.62,108.0194945,-24.8921008,28.4434,1.8852958353649059,-0.43444911669831454,-7.981316547848411,24.53555827642702,-11.972133050843297
443,GJ 229 A c,GJ 229,2,2,,,,0.58,92.6435993,-21.8677233,5.75624,1.616935838683314,-0.38166377150007974,-0.246392448968213,5.336371571971281,-2.1439981680375118
446,GJ 251 b,GJ 251,1,1,M3.0 V,3451.0,0.36,0.36,103.7002499,33.2664632,5.58057,1.8099107958959206,0.5806093133335288,-1.1051240996910814,4.533315316530977,3.06112961014192
