"id","naam","payloadLEO","jaar","massa"
"2332","Tsyklon-2","2820","1969","182000"
"2333","Tsyklon-3","1920","1977","189000"
"2334","Vanguard","9","1957","10050"
"2335","VLS-1","380","1997","50700"
"2336","Volna","100","1995","0"
"2337","Voskhod","6000","1963","298400"
"2338","Vostok-L","0","1960","0"
"2339","Vostok-K","2460","1960","0"
"2340","Vostok-2","4730","1962","0"
"2341","Vostok-2M","1300","1964","0"
"2342","Soyuz/Vostok","6000","1965","0"
"2343","Zenit-2","13740","1985","460000"
"2344","Zenit-2M / 2SLB","13920","2007","458900"
"2345","Zenit-3F","0","2011","471000"
"2346","Zenit-3SL","7000","1999","462200"
"2347","Zenit-3SLB / 3M","0","2008","471000"
