,index,planet_name,starname,number_stars,number_planets,spectral_type,star_temp,star_radius,star_mass,right_ascencion,declination,distance,alpha,delta,X,Y,Z
122,792,HAT-P-27 b,HAT-P-27,2,1,G8,5300.0,0.9,0.94,222.7673221,5.9473626,199.173,3.888023236495729,0.10380105917997051,-145.42932753552924,-134.5150476586879,20.637261808308953
123,795,HAT-P-28 b,HAT-P-28,1,1,G3,5680.0,1.1,1.02,13.0009159,34.728402,401.319,0.22690878822988186,0.6061249588561838,321.37405784521985,74.2004585644823,228.62621602501727
124,798,HAT-P-29 b,HAT-P-29,2,1,F8,6087.0,1.22,1.21,33.1310921,51.7787754,313.576,0.5782466419264823,0.9037101133806439,162.46770662395517,106.03704133153009,246.3540093970622
125,806,HAT-P-3 b,HAT-P-3,2,1,K,5185.0,0.82,0.94,206.0940142,48.028565,134.554,3.5970191164419476,0.8382565942581104,-80.81255094229645,-39.57919188522194,100.03798326591517
126,851,HAT-P-36 b,HAT-P-36,1,1,G5 V,5620.0,1.04,1.03,188.2662048,44.9153672,294.419,3.2858651439939526,0.7839210423822665,-206.3268769719463,-29.975557474525054,207.8779289729787
127,864,HAT-P-4 b,HAT-P-4,2,1,G1 V,5860.0,1.59,1.26,229.99122,36.229545,320.451,4.0141040396786325,0.632324846749449,-166.18683269423633,-197.99213029308615,189.3934961450987
128,894,HAT-P-49 b,HAT-P-49,1,1,F,6820.0,1.83,1.54,305.4413294,26.6926759,350.351,5.330956869698555,0.4658750806227407,181.50692969704596,-255.01528988463716,157.37934933785337
129,897,HAT-P-5 b,HAT-P-5,1,1,G,5960.0,1.17,1.16,274.4055335,36.6214617,303.336,4.789280045266599,0.6391650835579998,18.701126177703117,-242.73635064746344,180.94767434271523
130,922,HAT-P-57 b,HAT-P-57,3,1,A8 V,7500.0,1.5,1.47,274.743418,10.5971968,279.86,4.795177242283055,0.18495597564180705,22.74795232722725,-274.1446352700796,51.46716640299165
131,939,HAT-P-65 b,HAT-P-65,1,1,G2,5835.0,1.86,1.21,315.9054895,11.9893675,738.519,5.513590916899375,0.20925393810660126,518.82911501295,-502.6840092092705,153.412677641625
132,940,HAT-P-66 b,HAT-P-66,1,1,G0,6002.0,1.88,1.25,150.5726262,53.9508237,935.456,2.6279880905646777,0.9416195077279895,-479.47106710296043,270.4699471496386,756.327595315694
133,942,HAT-P-68 b,HAT-P-68,1,1,K,4508.0,0.67,0.68,118.4831501,23.9382192,202.152,2.0679210773796486,0.41780074210412294,-88.11381131289113,162.3993272801449,82.02344700677118
