id,planet_name,starname,number_stars,number_planets,spectral_type,star_temp,star_radius,star_mass,right_ascencion,declination,distance,alpha,delta,X,Y,Z
12404,Kepler-1598 b,Kepler-1598,1,1,,6164,1.09,1.03,288.469107,46.7836464,619.862,5.034735707,0.816528666,134.4640812,-402.5920367,451.7388204
12412,Kepler-1599 b,Kepler-1599,1,1,,5737,1.34,1.02,286.2208685,41.1511886,1328.2,4.995496543,0.718223732,279.3694651,-960.2903681,874.0196513
12421,Kepler-16 b,Kepler-16,2,1,,4450,0.65,0.69,289.0758307,51.757229,75.0852,5.045325034,0.903334058,15.18969402,-43.92513554,58.97154333
12422,Kepler-160 b,Kepler-160,1,3,,5857,0.87,0.89,287.773573,42.8692755,937.013,5.022596349,0.748210005,209.6328538,-653.9660607,637.476133
12446,Kepler-1600 b,Kepler-1600,1,1,,5119,0.83,0.82,291.3993802,38.7877563,1030.81,5.085878623,0.676974057,293.1657973,-748.0947654,645.73779
12452,Kepler-1601 b,Kepler-1601,1,1,,5920,1.05,1.08,285.5129496,38.079839,644.456,4.983141028,0.664618569,135.6764698,-488.8045157,397.4739953
12460,Kepler-1602 b,Kepler-1602,1,1,,6161.41,1.11,1.17,293.5808607,40.4275396,629.804,5.12395264,0.705593675,191.790017,-439.3900263,408.4189915
12468,Kepler-1603 b,Kepler-1603,1,1,,6284,2.07,,295.3298254,42.5349698,2712.58,5.154477833,0.74237527,855.1455496,-1806.639714,1833.812774
12476,Kepler-1604 b,Kepler-1604,1,1,,5016,0.75,0.82,285.4106549,44.4122318,541.189,4.981355648,0.775139673,102.7290296,-372.6846736,378.7326422
12483,Kepler-1605 b,Kepler-1605,1,1,,5447,4,1.66,287.1349405,47.4886251,546.23,5.011450109,0.828832865,108.747635,-352.7241991,402.6497289
12492,Kepler-1606 b,Kepler-1606,1,1,,5462,0.95,0.92,286.3782987,43.0732287,831.287,4.998244219,0.75176966,171.2282998,-582.5984617,567.7129363
12502,Kepler-1607 b,Kepler-1607,1,1,,5988,2.12,,296.0598685,42.6560582,1286.1,5.167219488,0.744488662,415.5180299,-849.6837016,871.4560138
12509,Kepler-1608 b,Kepler-1608,1,1,,4992,0.72,0.75,295.563555,39.41757,,5.158557184,0.68796638,,,
12516,Kepler-1609 b,Kepler-1609,1,1,,5802,1.32,1.04,290.1465356,39.6658026,1826.04,5.064012359,0.692298856,484.1373265,-1319.645333,1165.576821
12525,Kepler-161 b,Kepler-161,1,2,,,0.74,0.82,290.5164698,43.0838642,434.632,5.070468929,0.751955285,111.2537239,-297.3010484,296.8832615
12548,Kepler-1610 b,Kepler-1610,1,1,,5294,0.69,,295.9049795,45.4054296,864.331,5.164516165,0.792474245,265.1137603,-545.859501,615.4836934
12556,Kepler-1611 b,Kepler-1611,1,1,,5511,0.72,0.79,296.5120204,49.7277506,908.444,5.175111028,0.867912978,262.1339611,-525.4832781,693.1259712
12563,Kepler-1612 b,Kepler-1612,1,1,,5497,0.87,,291.2503022,45.6550536,764.726,5.083276721,0.796831005,193.7350036,-498.1809566,546.8896945
12571,Kepler-1613 b,Kepler-1613,1,1,,6302,1.27,1.06,289.8750066,43.4209318,1508.33,5.059273284,0.757838224,372.4485543,-1030.281769,1036.755005
12580,Kepler-1614 b,Kepler-1614,1,1,,5376,0.81,0.9,284.8713893,49.7758867,1191.19,4.971943688,0.868753111,197.4270325,-743.4792068,909.5025299
12588,Kepler-1615 b,Kepler-1615,1,1,,5865,1.05,1.04,286.3592066,42.2273971,1393.83,4.997910999,0.737007114,290.7018212,-990.3227173,936.7579387
12596,Kepler-1616 b,Kepler-1616,1,1,,6153,1.81,,286.5436691,45.3048716,1137.81,5.001130477,0.790719177,227.8710864,-767.1323554,808.8227948
12604,Kepler-1617 b,Kepler-1617,1,1,,6167,1.22,1.15,287.9371747,46.4184781,898.31,5.025451737,0.810155277,190.7228274,-589.1819516,650.7305795
12612,Kepler-1618 b,Kepler-1618,1,1,,6430,1.71,,295.1753619,45.9308594,1229.25,5.151781936,0.801644725,363.6980517,-773.7611848,883.2173677
12620,Kepler-1619 b,Kepler-1619,1,1,,6137,1,0.97,285.703595,44.4221528,734.85,4.986468418,0.775312827,142.0513177,-505.2419641,514.3505647
12628,Kepler-162 b,Kepler-162,1,2,,5816,0.96,,297.2789115,43.7239693,855.641,5.188495802,0.763127226,283.405054,-549.5834579,591.4060526
12649,Kepler-1620 b,Kepler-1620,1,1,,6210,1.05,1.03,297.2709026,46.9284743,895.069,5.188356021,0.819056389,280.0747152,-543.3116365,653.8494737
12657,Kepler-1621 b,Kepler-1621,1,1,,6355,1.43,1.26,297.5885341,43.8411937,1631.66,5.193899736,0.765173178,545.0235495,-1043.042231,1130.188742
12666,Kepler-1622 b,Kepler-1622,1,1,,6461,1.19,1.16,297.3288329,47.815459,796.477,5.189367095,0.834537193,245.5482158,-475.1541159,590.1781522
12674,Kepler-1623 b,Kepler-1623,1,1,,5578,0.88,0.98,294.082697,39.5560655,837.481,5.132711336,0.690383582,263.4807018,-589.4960346,533.3355139
12682,Kepler-1624 b,Kepler-1624,1,1,,3212,0.19,0.17,292.5798564,37.3762616,258.979,5.106481819,0.652338827,79.02188795,-190.0261706,157.2123347
12690,Kepler-1625 b,Kepler-1625,1,1,,5677,0.94,0.96,295.429322,39.8865068,2310.11,5.156214376,0.696150871,761.1432605,-1600.849101,1481.401804
12697,Kepler-1626 b,Kepler-1626,1,1,,6535,1.18,1.2,296.5004384,40.7212069,1368.83,5.174908884,0.710719136,462.9045705,-928.425143,892.9959022
12704,Kepler-1627 b,Kepler-1627,1,1,,5395,0.88,,284.0566675,41.5767277,317.437,4.95772411,0.725650791,57.67568572,-230.3537297,210.6583097
12711,Kepler-1628 b,Kepler-1628,1,1,,,,,281.6336936,43.4115547,,4.915435238,0.757674563,,,
12717,Kepler-1629 b,Kepler-1629,1,1,,5708,0.88,,280.2066276,43.7743281,336.09,4.890528238,0.764006153,43.00265867,-238.8402073,232.5136874
12723,Kepler-163 b,Kepler-163,1,2,,5410.9,0.97,0.94,295.0027458,46.9873389,689.814,5.148769217,0.820083771,198.8891613,-426.4658227,504.3940505
12744,Kepler-1630 b,Kepler-1630,1,1,,5037,0.76,0.72,297.5083004,43.7110543,331.213,5.192499394,0.762901817,110.5789058,-212.3449883,228.875431
12748,Kepler-1631 b,Kepler-1631,1,1,,5858,0.96,1.06,294.6325781,43.8076687,1305.99,5.142308571,0.764588056,392.8279449,-856.7233062,904.0582185
12754,Kepler-1632 b,Kepler-1632,1,1,,6137,1.19,1.12,294.4948769,43.9135575,716.76,5.139905232,0.766436165,214.0826029,-469.8727307,497.1248874
12760,Kepler-1633 b,Kepler-1633,1,1,,5889,4.91,2.01,288.5151733,44.9232545,1114.91,5.035539716,0.784058702,250.6835193,-748.5552142,787.3037359
12768,Kepler-1634 b,Kepler-1634,1,1,,5636,1.35,1.1,294.043399,45.1398201,617.339,5.132025456,0.787838485,177.4180121,-397.6764371,437.5885525
12774,Kepler-1635 b,Kepler-1635,1,1,,5484,0.78,0.83,285.3490542,45.5561768,1069.45,4.980280513,0.79510528,198.2168027,-722.1289307,763.5202742
12780,Kepler-1636 b,Kepler-1636,1,1,,5619.51,1.39,0.99,294.0575681,46.4409844,1947.54,5.132272754,0.810548086,547.0934893,-1225.476853,1411.314015
12786,Kepler-1637 b,Kepler-1637,1,1,,,,,282.2368006,48.1542016,567.187,4.925961441,0.840449367,80.19996001,-369.7894546,422.5219742
12792,Kepler-1638 b,Kepler-1638,1,1,,5906,0.85,0.77,295.4823299,48.5244695,1525.52,5.157139538,0.846911761,434.6865266,-912.063032,1142.97853
12801,Kepler-1639 b,Kepler-1639,1,1,,6495,1.15,1.11,283.068651,48.8021209,1031.31,4.940479969,0.851757692,153.5986587,-661.6907253,775.9981651
12809,Kepler-164 b,Kepler-164,1,3,,6353,1.14,1.08,287.7808115,47.6298453,890.758,5.022722685,0.831297623,183.3167076,-571.6223435,658.0977858
12841,Kepler-1640 b,Kepler-1640,1,1,,,,,294.5577857,40.8504949,1859.78,5.141003198,0.712975637,584.6699082,-1279.519695,1216.458835
12847,Kepler-1641 b,Kepler-1641,1,2,,6486,1.49,1.1,296.359456,41.5745321,860.37,5.172448277,0.72561247,285.7755752,-576.7154958,570.9361562
12861,Kepler-1642 b,Kepler-1642,1,2,,5254,1.51,0.94,297.2121215,43.643789,413.873,5.187330097,0.761727816,136.955792,-266.3485329,285.643887
12875,Kepler-1643 b,Kepler-1643,1,1,,4845,0.82,0.79,300.4310076,44.7510129,341.774,5.243510258,0.781052519,122.9371065,-209.2816462,240.6182194
12882,Kepler-1644 b,Kepler-1644,1,1,,5723,0.82,0.86,285.4750512,48.0348356,629.27,4.982479576,0.838366037,112.2718374,-405.5247857,467.894663
12887,Kepler-1645 b,Kepler-1645,1,1,,5680,1.52,1.01,297.4795142,48.418582,1202.47,5.19199698,0.845063675,368.2498272,-708.0192958,899.4636416
12894,Kepler-1646 b,Kepler-1646,1,1,,3227,0.2,0.18,287.5264859,42.9129356,127.591,5.018283866,0.748972018,28.14103,-89.1082923,86.87495586
12900,Kepler-1647 b,Kepler-1647,2,1,,6210,1.79,1.22,298.150057,40.6561751,1212.45,5.20370016,0.709584117,433.9475353,-811.0054094,789.9333927
12901,Kepler-1649 b,Kepler-1649,1,2,,2703,0.12,0.1,292.5029676,41.8299933,92.1913,5.105139856,0.730071109,26.29142889,-63.46382676,61.48446353
12912,Kepler-165 b,Kepler-165,1,2,,5208,0.76,0.73,280.69092,47.8096702,560.885,4.898980734,0.834436159,69.87970292,-370.1493998,415.5697681
12934,Kepler-1650 b,Kepler-1650,1,1,,3410,0.33,0.33,297.7292296,42.8666919,134.397,5.196355336,0.748164913,45.83363021,-87.19209449,91.42959373
12943,Kepler-1651 b,Kepler-1651,2,1,,3545,0.32,0.32,283.6282602,48.3908081,66.4074,4.950246992,0.844578929,10.39033738,-42.85600813,49.65225303
12950,Kepler-1652 b,Kepler-1652,1,1,,3885,0.5,0.52,294.3660313,49.9150219,,5.137656452,0.871181478,,,
12958,Kepler-1653 b,Kepler-1653,1,1,,4771,0.7,0.68,296.457702,41.266021,,5.174162993,0.720227936,,,
