,xsectmin,satno,diameter,mass,span,cosparId,xsectavg,name,vimpelId,objectClass,depth,height,shape,xsectmax,width
142, 0.0025, 48890, None, 0.284, 0.9,2021, 0.0375, SpaceBEE 104, None, Payload, 0.1, 0.025, Box + 2 Ant, 0.0910304787693306, 0.1
143, 0.0025, 48889, None, 0.284, 0.9,2021, 0.0375, SpaceBEE NZ-7, None, Payload, 0.1, 0.025, Box + 2 Ant, 0.0910304787693306, 0.1
144, 0.0025, 48888, None, 0.284, 0.9,2021, 0.0375, SpaceBEE 103, None, Payload, 0.1, 0.025, Box + 2 Ant, 0.0910304787693306, 0.1
145, 0.0025, 48887, None, 0.284, 0.9,2021, 0.0375, SpaceBEE NZ-9, None, Payload, 0.1, 0.025, Box + 2 Ant, 0.0910304787693306, 0.1
146, 0.0025, 48886, None, 0.284, 0.9,2021, 0.0375, SpaceBEE 102, None, Payload, 0.1, 0.025, Box + 2 Ant, 0.0910304787693306, 0.1
147, 0.01, 48885, None, 4.6, 0.3,2021, 0.035, Lemur-2 Jackson, None, Payload, 0.1, 0.3, Box + 2 Pan, 0.0435889894354067, 0.1
148, 0.0025, 48884, None, 0.284, 0.9,2021, 0.0375, SpaceBEE 101, None, Payload, 0.1, 0.025, Box + 2 Ant, 0.0910304787693306, 0.1
149, 0.0025, 48883, None, 0.284, 0.9,2021, 0.0375, SpaceBEE 100, None, Payload, 0.1, 0.025, Box + 2 Ant, 0.0910304787693306, 0.1
150, 0.0025, 48882, None, 0.284, 0.9,2021, 0.0375, SpaceBEE NZ-10, None, Payload, 0.1, 0.025, Box + 2 Ant, 0.0910304787693306, 0.1
151, 0.01, 48966, None, 4.0, 0.5,2021, 0.035, Neptuno, None, Payload, 0.1, 0.3, Box, 0.0435889894354067, 0.1
152, 0.01, 48965, None, 5.0, 0.3,2021, 0.035, W-Cube, None, Payload, 0.1, 0.3, Box, 0.0435889894354067, 0.1
153, 0.04, 48964, None, 10.0, 0.3,2021, 0.08, SPARTAN, None, Payload, 0.2, 0.3, Box + 2 Pan, 0.0938083151964686, 0.2
154, 0.04, 48963, None, 10.0, 0.3,2021, 0.08, NAPA-2, None, Payload, 0.2, 0.3, Box, 0.0938083151964686, 0.2
155, None, 48962, None, 2.0, 0.2,2021, None, Ghalib, None, Payload, None, None, None, None, None
156, 0.01, 48961, None, 5.0, 0.3,2021, 0.035, Astrocast-0202, None, Payload, 0.1, 0.3, Box, 0.0435889894354067, 0.1
157, 0.01, 48960, None, 5.0, 0.3,2021, 0.035, Astrocast-0205, None, Payload, 0.1, 0.3, Box, 0.0435889894354067, 0.1
158, 0.01, 48959, None, 4.6, 0.3,2021, 0.035, Lemur-2 CarlSantaMari, None, Payload, 0.1, 0.3, Box + 2 Pan, 0.0435889894354067, 0.1
159, 0.32, 48958, 0.8, 295.0, 0.8,2021, 0.502654824574367, SHERPA-FX 2, None, Payload, None, 0.4, Cyl, 0.595870684517948, None
160, 0.16, 48957, None, 31.0, 1.0,2021, 0.348133333333333, Hawk 3A, None, Payload, 0.4, 0.5, Box + 2 Pan, 0.517161848360003, 0.4
161, 0.25, 48956, None, 23.0, 0.5,2021, 0.375, Astro Digital Demo 9, None, Payload, 0.5, 0.5, Box + 1 Pan, 0.433012701892219, 0.5
162, 0.01, 48955, None, 5.0, 0.3,2021, 0.035, Astrocast-0203, None, Payload, 0.1, 0.3, Box, 0.0435889894354067, 0.1
163, 0.01, 48954, None, 5.0, 0.3,2021, 0.035, Astrocast-0201, None, Payload, 0.1, 0.3, Box, 0.0435889894354067, 0.1
164, 0.04, 48953, None, 20.0, 0.3,2021, 0.08, Arthur, None, Payload, 0.2, 0.3, Box, 0.0938083151964686, 0.2
165, 0.01, 48952, None, 5.0, 0.3,2021, 0.035, Astrocast-0204, None, Payload, 0.1, 0.3, Box, 0.0435889894354067, 0.1
166, 0.25, 48951, None, 35.0, 0.5,2021, 0.375, Astro Digital Demo 8, None, Payload, 0.5, 0.5, Box + 1 Pan, 0.433012701892219, 0.5
167, 0.56, 48881, None, 260.0, 9.0,2021, 11.0874666666667, Starlink 3005, None, Payload, 2.8, 0.2, Box + 1 Pan, 27.5921076312379, 2.8
168, 0.04, 48950, None, 10.0, 0.3,2021, 0.08, KSF1-D, None, Payload, 0.2, 0.3, Box, 0.0938083151964686, 0.2
169, 0.0025, 48949, None, 0.284, 0.9,2021, 0.0375, SpaceBEE 98, None, Payload, 0.1, 0.025, Box + 2 Ant, 0.0910304787693306, 0.1
170, 0.16, 48948, None, 31.0, 1.0,2021, 0.348133333333333, Hawk 3C, None, Payload, 0.4, 0.5, Box + 2 Pan, 0.517161848360003, 0.4
171, 0.0025, 48947, None, 0.284, 0.9,2021, 0.0375, SpaceBEE 90, None, Payload, 0.1, 0.025, Box + 2 Ant, 0.0910304787693306, 0.1
172, 0.0025, 48946, None, 0.284, 0.9,2021, 0.0375, SpaceBEE 99, None, Payload, 0.1, 0.025, Box + 2 Ant, 0.0910304787693306, 0.1
173, 0.0025, 48945, None, 0.284, 0.9,2021, 0.0375, SpaceBEE 95, None, Payload, 0.1, 0.025, Box + 2 Ant, 0.0910304787693306, 0.1
174, 0.04, 48944, None, 10.0, 0.3,2021, 0.08, Tiger-2, None, Payload, 0.2, 0.3, Box + 2 Pan, 0.0938083151964686, 0.2
175, 0.01, 48943, None, 1.0, 0.1,2021, 0.015, QMR-KWT, None, Payload, 0.1, 0.1, Box, 0.0173205080756888, 0.1
176, 0.04, 48942, None, 10.0, 0.3,2021, 0.08, KSF1-C, None, Payload, 0.2, 0.3, Box, 0.0938083151964686, 0.2
177, 0.32, 48941, 0.8, 335.0, 0.8,2021, 0.502654824574367, SHERPA-LTE 1, None, Payload, None, 0.4, Cyl, 0.595870684517948, None
178, 0.0025, 48940, None, 0.284, 0.9,2021, 0.0375, SpaceBEE 91, None, Payload, 0.1, 0.025, Box + 2 Ant, 0.0910304787693306, 0.1
179, 0.0025, 48939, None, 0.284, 0.9,2021, 0.0375, SpaceBEE 93, None, Payload, 0.1, 0.025, Box + 2 Ant, 0.0910304787693306, 0.1
180, 0.25, 48938, None, 30.0, 0.5,2021, 0.375, Lynk 06, None, Payload, 0.5, 0.5, Box, 0.433012701892219, 0.5
181, 0.0025, 48937, None, 0.284, 0.9,2021, 0.0375, SpaceBEE 94, None, Payload, 0.1, 0.025, Box + 2 Ant, 0.0910304787693306, 0.1
182, 0.0025, 48936, None, 0.284, 0.9,2021, 0.0375, SpaceBEE 97, None, Payload, 0.1, 0.025, Box + 2 Ant, 0.0910304787693306, 0.1
183, 0.0025, 48935, None, 0.284, 0.9,2021, 0.0375, SpaceBEE 88, None, Payload, 0.1, 0.025, Box + 2 Ant, 0.0910304787693306, 0.1
184, 0.01, 48934, None, 5.0, 0.3,2021, 0.035, SpaceBEE 96, None, Payload, 0.1, 0.3, Box, 0.0435889894354067, 0.1
185, 0.0025, 48933, None, 0.284, 0.9,2021, 0.0375, SpaceBEE 89, None, Payload, 0.1, 0.025, Box + 2 Ant, 0.0910304787693306, 0.1
186, 0.0025, 48932, None, 0.284, 0.9,2021, 0.0375, SpaceBEE 92, None, Payload, 0.1, 0.025, Box + 2 Ant, 0.0910304787693306, 0.1
187, 0.16, 48931, None, 31.0, 1.0,2021, 0.348133333333333, Hawk 3B, None, Payload, 0.4, 0.5, Box + 2 Pan, 0.517161848360003, 0.4
188, 0.04, 48930, None, 10.0, 0.3,2021, 0.08, KSF1-A, None, Payload, 0.2, 0.3, Box, 0.0938083151964686, 0.2
189, 0.01, 48929, None, 4.6, 0.3,2021, 0.035, Lemur-2 Merima, None, Payload, 0.1, 0.3, Box + 2 Pan, 0.0435889894354067, 0.1
190, 0.01, 48928, None, 4.0, 0.5,2021, 0.035, Painani-2, None, Payload, 0.1, 0.3, Box, 0.0435889894354067, 0.1
191, 0.01, 48927, None, 4.6, 0.3,2021, 0.035, Lemur-2 AC-Cubed, None, Payload, 0.1, 0.3, Box + 2 Pan, 0.0435889894354067, 0.1
192, 0.56, 48880, None, 260.0, 9.0,2021, 11.0874666666667, Starlink 3004, None, Payload, 2.8, 0.2, Box + 1 Pan, 27.5921076312379, 2.8
193, 0.04, 48926, None, 10.0, 0.3,2021, 0.08, KSF1-B, None, Payload, 0.2, 0.3, Box, 0.0938083151964686, 0.2
194, 0.01, 48925, None, 4.6, 0.3,2021, 0.035, Lemur-2 John-Treires, None, Payload, 0.1, 0.3, Box + 2 Pan, 0.0435889894354067, 0.1
195, 0.04, 48924, None, 10.0, 0.3,2021, 0.08, Faraday Phoenix, None, Payload, 0.2, 0.3, Box, 0.0938083151964686, 0.2
196, 0.01, 48923, None, 4.6, 0.3,2021, 0.035, Lemur-2 AnnaBanana, None, Payload, 0.1, 0.3, Box + 2 Pan, 0.0435889894354067, 0.1
197, 0.04, 48922, None, 10.0, 0.3,2021, 0.08, D2/AtlaCom-1, None, Payload, 0.2, 0.3, Box + 2 Pan, 0.0938083151964686, 0.2
198, 0.16, 48921, None, 44.0, 0.75,2021, 0.38, NuSat 20, None, Payload, 0.4, 0.75, Box, 0.453431361950185, 0.4
199, 0.16, 48920, None, 44.0, 0.75,2021, 0.38, NuSat 21, None, Payload, 0.4, 0.75, Box, 0.453431361950185, 0.4
200, 0.16, 48919, None, 44.0, 0.75,2021, 0.38, NuSat 22, None, Payload, 0.4, 0.75, Box, 0.453431361950185, 0.4
201,attributes,,,,,,,,,,,,,,
202, 1.0, 48791, None, 148.0, 5.0,2021, 2.88533333333333, OneWeb 0212, None, Payload, 1.0, 1.3, Box + 2 Pan, 5.2931349405062, 1.0
203, 1.0, 48767, None, 148.0, 5.0,2021, 2.88533333333333, OneWeb 0211, None, Payload, 1.0, 1.3, Box + 2 Pan, 5.2931349405062, 1.0
204, 0.56, 48661, None, 260.0, 9.0,2021, 11.0874666666667, Starlink 2708, None, Payload, 2.8, 0.2, Box + 1 Pan, 27.5921076312379, 2.8
205, 0.56, 48660, None, 260.0, 9.0,2021, 11.0874666666667, Starlink 2688, None, Payload, 2.8, 0.2, Box + 1 Pan, 27.5921076312379, 2.8
206, 0.56, 48659, None, 260.0, 9.0,2021, 11.0874666666667, Starlink 2717, None, Payload, 2.8, 0.2, Box + 1 Pan, 27.5921076312379, 2.8
207, 0.56, 48658, None, 260.0, 9.0,2021, 11.0874666666667, Starlink 2647, None, Payload, 2.8, 0.2, Box + 1 Pan, 27.5921076312379, 2.8
208, 0.56, 48657, None, 260.0, 9.0,2021, 11.0874666666667, Starlink 2734, None, Payload, 2.8, 0.2, Box + 1 Pan, 27.5921076312379, 2.8
209, 0.56, 48656, None, 260.0, 9.0,2021, 11.0874666666667, Starlink 2701, None, Payload, 2.8, 0.2, Box + 1 Pan, 27.5921076312379, 2.8
210, 0.56, 48655, None, 260.0, 9.0,2021, 11.0874666666667, Starlink 2657, None, Payload, 2.8, 0.2, Box + 1 Pan, 27.5921076312379, 2.8
211, 0.56, 48654, None, 260.0, 9.0,2021, 11.0874666666667, Starlink 2651, None, Payload, 2.8, 0.2, Box + 1 Pan, 27.5921076312379, 2.8
212, 0.56, 48653, None, 260.0, 9.0,2021, 11.0874666666667, Starlink 2720, None, Payload, 2.8, 0.2, Box + 1 Pan, 27.5921076312379, 2.8
213, 0.56, 48652, None, 260.0, 9.0,2021, 11.0874666666667, Starlink 2727, None, Payload, 2.8, 0.2, Box + 1 Pan, 27.5921076312379, 2.8
214, 0.56, 48651, None, 260.0, 9.0,2021, 11.0874666666667, Starlink 2731, None, Payload, 2.8, 0.2, Box + 1 Pan, 27.5921076312379, 2.8
215, 0.56, 48650, None, 260.0, 9.0,2021, 11.0874666666667, Starlink 2672, None, Payload, 2.8, 0.2, Box + 1 Pan, 27.5921076312379, 2.8
216, 0.56, 48649, None, 260.0, 9.0,2021, 11.0874666666667, Starlink 2673, None, Payload, 2.8, 0.2, Box + 1 Pan, 27.5921076312379, 2.8
217, 0.56, 48648, None, 260.0, 9.0,2021, 11.0874666666667, Starlink 2521, None, Payload, 2.8, 0.2, Box + 1 Pan, 27.5921076312379, 2.8
